"nombre","web","linkedin","especialidades","ubicacion"
"2c5w","https://2c5w.com","https://www.linkedin.com/company/2c5w","consultoría y servicios a empresas.",
"aba consulting","https://www.abaconsulting.com.ar","https://www.linkedin.com/company/abaco-","sap netweaver, sap solution manager, sap basis, sap alm, development, sap fiori, sap cloud, sap btp y sap integration suite.","buenos aires"
"accenture","https://www.accenture.com/ar-es","https://www.linkedin.com/company/accenturear","consultoría, consultoría de gestión, management consulting, tecnología, consultoría tecnológica, consultoría de integración de sistemas, digital, outsourcing de tecnologías de la información, outsourcing y outsourcing de procesos de negocio.","buenos aires"
"accion point","https://accionpoint.com","https://www.linkedin.com/company/accion-point","desarrollos de software, bantotal, mantenimiento, consultoría, migración, servicios profesionales, sistemas, desarrollos mobile y implementación de soluciones.","buenos aires"
"acriter","http://acriter.net","https://www.linkedin.com/company/acriter-s.a.","transactions electronic channels transacciones electrónicas pago tarjetas.",
"activia","https://www.activia.com.ar","https://www.linkedin.com/company/activia-s.a.","productos de redes informáticas.","buenos aires"
"advanced resources","https://www.ar-consulting.com.ar","https://www.linkedin.com/company/advanced-resources-sa","supply chain planning, cpfr, perfect order, abastecimiento, vmi - cmi, distribution requirements planning (drp) y trade marketing.","buenos aires"
"advanced software","https://nonconformist.digital","https://www.linkedin.com/company/advanced-software_2","desarrollo de software, ux ui design, qa test, consultoria en infraestructura en la nube y on premise, seguridad informatica, implementacion crms, transformación digital y gestión del cambio.","buenos aires"
"adviters","https://www.adviters.com/sp","https://www.linkedin.com/company/adviters","ai, blockchain, iot, big data, digital content, design, ux/ui, agile, mobile, cybersecurity, healthcare, consultancy, healthcare, finance y staffing.","buenos aires"
"agnostic","https://agnosticit.com","https://www.linkedin.com/company/agnosticit","bigdata, machine learning, bpm, rpa, search, data lake, nonsqldb, cdc, process performance manager, bi, data warehouse, data science, business analytics, process mining y robotic process automation.","buenos aires"
"aliantec","https://www.aliantec.com","https://www.linkedin.com/company/aliantec","reclutamiento y selección de personal it y capacitaciones.",
"altromondo","https://altromondo.com.ar","https://www.linkedin.com/company/altromondo-sa","sap, analista funcionales, .net y project manager.",
"am2 consulting","https://am2consulting.com.ar","https://www.linkedin.com/company/am2-desarrollo-innovacion","acerca de nuestro equipos de profesionales.",
"applicant","https://applicant.com.ar","https://www.linkedin.com/company/applicant---it-talent-management","outsourcing it, head hunting, professional services, staff augmentation, it consulting y business consulting.","buenos aires"
"appstract","https://appstract.us","https://www.linkedin.com/company/appstractweb","android, ios, web, node, angular, react, flutter, net, discovery y product ideation.","buenos aires"
"arballon","https://ardison.com","https://www.linkedin.com/showcase/arballon-erp","erp, verticalizaciones, trazabilidad, software de gestión y soft vitivinicola.",
"arbusta","https://arbusta.net","https://www.linkedin.com/company/arbustait","data services, ecommerce ops, bpo, data collection, data cleansing, data moderation, data labelling, data validation, data entry, catalog enrichment, matcheo, content moderation, back office y commerce.","buenos aires"
"arista","http://www.aristatranslations.com","https://www.linkedin.com/company/arista-language-solutions","localization, translation, interpreting, language consulting services, integrated language support, multilingual training programs, medical and scientific translation, medical translation services, fintech translation services, translation services for the energy sector, legal and financial translation , certified and sworn translations, machine translation post-editing (mtpe), tourism & hospitality, marketing and advertising translation, website translation & localization, audiovisual translation services, professional translation y lqa.",
"artdecode","http://www.artdecode.com.ar","https://www.linkedin.com/company/artdecode","technology jee mobile clasified adds vms b2b b2c.","buenos aires"
"artfos","https://www.artfos.com.ar","https://www.linkedin.com/company/artfos","software empresarial, web development, mobile y social networks development.",
"asoleb","https://www.asoleb.com.ar","https://www.linkedin.com/company/asoleb","consultoría y servicios a empresas.",
"atelier software","https://www.ateliersoftware.com.ar","https://www.linkedin.com/company/atelier-software-sa","servicios y consultoría de ti.",
"augmenta consulting","https://www.augmentaconsulting.com.ar","https://www.linkedin.com/company/augmenta-consulting","tercerización de nomina, implementación de procesos de administración de personal, start up de recursos humanos, programas de entrenamiento laboral, recruiting y hunting para mandos medios.",
"automation bg","https://www.automationbg.com.ar","https://www.linkedin.com/company/automation-bg","rpa y automatización de procesos.",
"avanzit","https://www.avanzit.com.ar","https://www.linkedin.com/company/avanzit-tecnologia-s.a","telecomunicaciones.","buenos aires"
"aw latam","https://www.awglobal.tech/awlatam","https://www.linkedin.com/company/aw-latam","implementación de soluciones para empresas, dynamics 365, omnicanalidad, crm, erp, solluciones cloud, azure, microsoft dynamics, chatbot, digital business eperience, customer experience, dynamics latam y localización.",
"axonier","https://axonier.com","https://www.linkedin.com/company/axonier-consultores","consultoría, negocios, sistemas, soluciones, procesos, organizaciones, agilidad, data science, machine learning, experiencias, powerapps, powerbi, microsoft, staff augmentation, project management, recursos humanos, finanzas, operación, supply chain, automation, desarrollo, compliance, personas, management, microsoft, inteligencia artificial, gobierno de aplicaciones, gestión y hacer que las cosas pasen.","buenos aires"
"b&sit","http://www.bsit.com.ar","https://www.linkedin.com/company/b-sit","ciberseguridad y consultoría it.",
"b2cloud","https://b2cloud.tech","https://www.linkedin.com/company/b2cloudtech","equipamiento para data center, equipamiento para networking, equipamiento para seguridad, soluciones wireless, consultoria de seguridad, consultoria de networking, soluciones cloud, network operation center, security operation center y soc.","buenos aires"
"bairesqa","https://www.bairesqa.com","https://www.linkedin.com/company/bairesqa","software quality assurance, qa services y software testing.",
"baitcon","https://www.baitcon.com","https://www.linkedin.com/company/baitcon-gd","transformación digital, innovación digital, sap s/4hana, successfactors, sap cloud platform, iot, sap leonardo, sap fiori, soluciones cloud, hybris, agile digital core y hr quick package.","buenos aires"
"bank","https://www.banksa.com.ar","https://www.linkedin.com/company/bank-argentina","logística integral, distribución y última milla, gestión de almacenes (wms), logística para e-commerce, gestión de stock y fulfillment, cadena de suministro, logística documental, administración de documentos, guarda y custodia de archivos, digitalización de documentos, gestión de archivos físicos, resguardo de medios magnéticos, transformación digital, firma digital y electrónica, gestión de procesos documentales, soluciones tecnológicas para rrhh, digitalización aduanera (psad), optimización de procesos, sod y servicios de outsourcing.","buenos aires"
"beon","https://beon.la","https://www.linkedin.com/company/beon-digital-transformation-partners","e-commerce, transformación digital, consultoría, business intelligence, negocios digitales, emerchandising, estrategia, plataformas digitales, gestión, asesoría, comercio electrónico, consumo masivo, cpg, fmcg, análisis de datos, data analytics, digital sales y ai.",
"besmart","https://besmart.company","https://www.linkedin.com/company/besmart-argentina","advanced business analytics & services, predictive solutions for risk, marketing & customer intelligence, decision engine, cloud, mobile, on premise digital marketing automation platforms y data mining & statistics software.",
